id,x,y,count
0,323.51279360198805,-1594.7693493056472,101
0,397.70644958011826,-1433.133170210435,101
1,397.70644958011826,-1433.133170210435,37
1,339.3312729557888,-1412.5116981812193,37
2,339.3312729557888,-1412.5116981812193,283
2,287.69854501998793,-1395.8069920843427,283
3,287.69854501998793,-1395.8069920843427,226
3,234.54720743901657,-1376.0650666971246,226
4,234.54720743901657,-1376.0650666971246,194
4,210.24945311628676,-1371.509237761613,194
5,210.24945311628676,-1371.509237761613,101
5,185.951698793557,-1366.9534088261012,101
6,339.3312729557888,-1412.5116981812193,337
6,362.1104176333479,-1363.9161895357597,337
7,287.69854501998793,-1395.8069920843427,36
7,311.99629934271775,-1342.6556545033714,36
8,234.54720743901657,-1376.0650666971246,45
8,264.91940034242873,-1318.3579001806415,45
9,264.91940034242873,-1318.3579001806415,43
9,223.91693992282228,-1287.9857072772293,43
10,264.91940034242873,-1318.3579001806415,54
10,311.99629934271775,-1342.6556545033714,54
11,311.99629934271775,-1342.6556545033714,99
11,362.1104176333479,-1363.9161895357597,99
12,223.91693992282228,-1287.9857072772293,121
12,216.3238916969692,-1304.690413374106,121
13,216.3238916969692,-1304.690413374106,34
13,210.24945311628676,-1371.509237761613,34
14,397.70644958011826,-1433.133170210435,213
14,418.2989745046606,-1388.2139438584895,213
15,418.2989745046606,-1388.2139438584895,25
15,362.1104176333479,-1363.9161895357597,25
16,223.91693992282228,-1287.9857072772293,233
16,245.02944241837068,-1243.9919686994047,233
17,245.02944241837068,-1243.9919686994047,32
17,288.8266550421147,-1268.2488864602474,32
18,288.8266550421147,-1268.2488864602474,33
18,337.34049056380036,-1290.4843944076868,33
19,337.34049056380036,-1290.4843944076868,40
19,386.5281293566206,-1314.067508897395,40
20,386.5281293566206,-1314.067508897395,15
20,441.106194318517,-1342.367246285045,15
21,288.8266550421147,-1268.2488864602474,121
21,264.91940034242873,-1318.3579001806415,121
22,337.34049056380036,-1290.4843944076868,34
22,311.99629934271775,-1342.6556545033714,34
23,386.5281293566206,-1314.067508897395,476
23,362.1104176333479,-1363.9161895357597,476
24,441.106194318517,-1342.367246285045,293
24,418.2989745046606,-1388.2139438584895,293
25,245.02944241837068,-1243.9919686994047,292
25,267.26495036580997,-1196.825739719988,292
26,267.26495036580997,-1196.825739719988,285
26,312.40976953182303,-1219.7350509385617,285
27,312.40976953182303,-1219.7350509385617,28
27,360.24980178237416,-1241.970558886001,28
28,360.24980178237416,-1241.970558886001,138
28,408.08983403292535,-1267.575083189113,138
29,408.08983403292535,-1267.575083189113,76
29,460.64648918141813,-1293.8534107633593,76
30,312.40976953182303,-1219.7350509385617,185
30,288.8266550421147,-1268.2488864602474,185
31,360.24980178237416,-1241.970558886001,106
31,337.34049056380036,-1290.4843944076868,106
32,408.08983403292535,-1267.575083189113,572
32,386.5281293566206,-1314.067508897395,572
33,460.64648918141813,-1293.8534107633593,357
33,441.106194318517,-1342.367246285045,357
34,267.26495036580997,-1196.825739719988,82
34,291.5218681266528,-1147.6381009271677,82
35,291.5218681266528,-1147.6381009271677,142
35,336.66668729266587,-1171.8950186880106,142
36,336.66668729266587,-1171.8950186880106,521
36,312.40976953182303,-1219.7350509385617,521
37,336.66668729266587,-1171.8950186880106,731
37,381.1377031875444,-1194.8043299065844,731
38,381.1377031875444,-1194.8043299065844,283
38,360.24980178237416,-1241.970558886001,283
39,381.1377031875444,-1194.8043299065844,25
39,429.65153870923007,-1221.7564607519653,25
40,429.65153870923007,-1221.7564607519653,553
40,408.08983403292535,-1267.575083189113,553
41,429.65153870923007,-1221.7564607519653,8
41,482.8819971288574,-1248.0347883262118,8
42,482.8819971288574,-1248.0347883262118,378
42,460.64648918141813,-1293.8534107633593,378
43,291.5218681266528,-1147.6381009271677,143
43,311.06216298955394,-1102.4932817611545,143
44,311.06216298955394,-1102.4932817611545,9
44,358.90219524010513,-1126.076396250863,9
45,358.90219524010513,-1126.076396250863,101
45,336.66668729266587,-1171.8950186880106,101
46,358.90219524010513,-1126.076396250863,21
46,404.0470144061182,-1151.0071172828402,21
47,404.0470144061182,-1151.0071172828402,814
47,381.1377031875444,-1194.8043299065844,814
48,404.0470144061182,-1151.0071172828402,33
48,453.2346531989384,-1175.264035043683,33
49,453.2346531989384,-1175.264035043683,589
49,429.65153870923007,-1221.7564607519653,589
50,453.2346531989384,-1175.264035043683,27
50,505.1175050762967,-1200.8685593467949,27
51,505.1175050762967,-1200.8685593467949,425
51,482.8819971288574,-1248.0347883262118,425
52,311.06216298955394,-1102.4932817611545,179
52,333.29767093699326,-1055.3270527817378,179
53,358.90219524010513,-1126.076396250863,162
53,381.1377031875444,-1079.5839705425808,162
54,333.29767093699326,-1055.3270527817378,9
54,381.1377031875444,-1079.5839705425808,9
55,381.1377031875444,-1079.5839705425808,170
55,427.63012889582654,-1103.167085032289,170
56,404.0470144061182,-1151.0071172828402,827
56,427.63012889582654,-1103.167085032289,827
57,427.63012889582654,-1103.167085032289,801
57,475.4701611463777,-1126.7501995219973,801
58,475.4701611463777,-1126.7501995219973,632
58,453.2346531989384,-1175.264035043683,632
59,475.4701611463777,-1126.7501995219973,122
59,523.3101933969288,-1149.659510740571,122
60,505.1175050762967,-1200.8685593467949,477
60,523.3101933969288,-1149.659510740571,477
61,333.29767093699326,-1055.3270527817378,213
61,356.88078542670155,-1007.4870205311868,213
62,356.88078542670155,-1007.4870205311868,238
62,401.3518013215801,-1029.722528478626,238
63,401.3518013215801,-1029.722528478626,110
63,381.1377031875444,-1079.5839705425808,110
64,401.3518013215801,-1029.722528478626,10
64,451.21324338553484,-1053.9794462394689,10
65,451.21324338553484,-1053.9794462394689,903
